wordform	lemma	msd
Acić	Acić	Npfpv
Acić	Acić	Npfsa
Acić	Acić	Npfsd
Acić	Acić	Npfsg
Acić	Acić	Npfsi
Acić	Acić	Npfsl
Acić	Acić	Npfsn
Acić	Acić	Npfsv
Aciće	Acić	Npmpa
Acićima	Acić	Npmpd
Acića	Acić	Npmpg
Acićima	Acić	Npmpi
Acićima	Acić	Npmpl
Acići	Acić	Npmpn
Acići	Acić	Npmpv
Acića	Acić	Npmsay
Aciću	Acić	Npmsd
Acića	Acić	Npmsg
Acićem	Acić	Npmsi
Aciću	Acić	Npmsl
Acić	Acić	Npmsn
Aciću	Acić	Npmsv
Acu	Aco	Npmsay
Aci	Aco	Npmsd
Ace	Aco	Npmsg
Acom	Aco	Npmsi
Aci	Aco	Npmsl
Aco	Aco	Npmsn
Aco	Aco	Npmsv
Adu	Ada	Npnsa
Adi	Ada	Npnsd
Ade	Ada	Npnsg
Adom	Ada	Npnsi
Adi	Ada	Npnsl
Ada	Ada	Npnsn
Ado	Ada	Npnsv
Adama	Adam	Npmsay
Adamu	Adam	Npmsd
Adama	Adam	Npmsg
Adamom	Adam	Npmsi
Adamu	Adam	Npmsl
Adam	Adam	Npmsn
Adame	Adam	Npmsv
Adamić	Adamić	Npfpa
Adamić	Adamić	Npfpd
Adamić	Adamić	Npfpg
Adamić	Adamić	Npfpi
Adamić	Adamić	Npfpl
Adamić	Adamić	Npfpn
Adamić	Adamić	Npfpv
Adamić	Adamić	Npfsa
Adamić	Adamić	Npfsd
Adamić	Adamić	Npfsg
Adamić	Adamić	Npfsi
Adamić	Adamić	Npfsl
Adamić	Adamić	Npfsn
Adamić	Adamić	Npfsv
Adamiće	Adamić	Npmpa
Adamićima	Adamić	Npmpd
Adamića	Adamić	Npmpg
Adamićima	Adamić	Npmpi
Adamićima	Adamić	Npmpl
Adamići	Adamić	Npmpn
Adamići	Adamić	Npmpv
Adamića	Adamić	Npmsay
Adamiću	Adamić	Npmsd
Adamića	Adamić	Npmsg
Adamićem	Adamić	Npmsi
Adamiću	Adamić	Npmsl
Adamić	Adamić	Npmsn
Adamiću	Adamić	Npmsv
Adamović	Adamović	Npfpa
Adamović	Adamović	Npfpd
Adamović	Adamović	Npfpg
Adamović	Adamović	Npfpi
Adamović	Adamović	Npfpl
Adamović	Adamović	Npfpn
Adamović	Adamović	Npfpv
Adamović	Adamović	Npfsa
Adamović	Adamović	Npfsd
Adamović	Adamović	Npfsg
Adamović	Adamović	Npfsi
Adamović	Adamović	Npfsl
Adamović	Adamović	Npfsn
Adamović	Adamović	Npfsv
Adamoviće	Adamović	Npmpa
Adamovićima	Adamović	Npmpd
Adamovića	Adamović	Npmpg
Adamovićima	Adamović	Npmpi
Adamovićima	Adamović	Npmpl
Adamovići	Adamović	Npmpn
Adamovići	Adamović	Npmpv
Adamovića	Adamović	Npmsay
Adamoviću	Adamović	Npmsd
Adamovića	Adamović	Npmsg
Adamovićem	Adamović	Npmsi
Adamoviću	Adamović	Npmsl
Adamović	Adamović	Npmsn
Adamović	Adamović	Npmsv
Adamoviću	Adamović	Npmsv
Adašević	Adašević	Npfpa
Adašević	Adašević	Npfpd
Adašević	Adašević	Npfpg
Adašević	Adašević	Npfpi
Adašević	Adašević	Npfpl
Adašević	Adašević	Npfpn
Adašević	Adašević	Npfpv
Adašević	Adašević	Npfsa
Adašević	Adašević	Npfsd
Adašević	Adašević	Npfsg
Adašević	Adašević	Npfsi
Adašević	Adašević	Npfsl
Adašević	Adašević	Npfsn
Adašević	Adašević	Npfsv
Adaševiće	Adašević	Npmpa
Adaševićima	Adašević	Npmpd
Adaševića	Adašević	Npmpg
Adaševićima	Adašević	Npmpi
Adaševićima	Adašević	Npmpl
Adaševići	Adašević	Npmpn
Adaševići	Adašević	Npmpv
Adaševića	Adašević	Npmsay
Adaševiću	Adašević	Npmsd
Adaševića	Adašević	Npmsg
Adaševićem	Adašević	Npmsi
Adaševiću	Adašević	Npmsl
Adašević	Adašević	Npmsn
Adaševiću	Adašević	Npmsv
Adelinu	Adelina	Npfsa
Adelini	Adelina	Npfsd
Adeline	Adelina	Npfsg
Adelinom	Adelina	Npfsi
Adelini	Adelina	Npfsl
Adelina	Adelina	Npfsn
Adelina	Adelina	Npfsv
Adrijanu	Adrijana	Npfsa
Adrijani	Adrijana	Npfsd
Adrijane	Adrijana	Npfsg
Adrijanom	Adrijana	Npfsi
Adrijani	Adrijana	Npfsl
Adrijana	Adrijana	Npfsn
Adrijana	Adrijana	Npfsv
Adžemović	Adžemović	Npfpa
Adžemović	Adžemović	Npfpd
Adžemović	Adžemović	Npfpg
Adžemović	Adžemović	Npfpi
Adžemović	Adžemović	Npfpl
Adžemović	Adžemović	Npfpn
Adžemović	Adžemović	Npfpv
