Abadžija
Abadžić
Abazović
Abramić
Abramović
Abrašević
Acić
Adam
Adamić
Adamović
Adašević
Adžemović
Adžić
Adžović
Agbaba
Ajdarić
Ajder
Ajdin
Ajdinović
Ajduk
Ajduković
Ajdučić
Ajvaz
Aksentić
Aksić
Akšam
Aladić
Aladžić
Alanović
Alavanja
Alavantić
Alavuk
Alavuković
Albijanić
Aleksandrić
Aleksandrov
Aleksandrović
Aleksijević
Aleksin
Aleksić
Alempijević
Alfirević
Aligrudić
Alimpić
Aličić
Alković
Aluga
Amanović
Amidžić
Ananić
Anastasijević
Andesilić
Andić
Andonov
Andonović
Andrašević
Andrejević
Andrejić
Andrijanić
Andrijašević
Andrijević
Andrijin
Andrin
Andrić
Anikić
Anić
Aničin
Aničić
Ankić
Anokić
Anović
Antelj
Antešević
Antić
Antonijević
Antonić
Antonović
Antović
Antunović
Anušić
Anđelković
Anđelović
Anđić
Anđus
Anđušić
Aparac
Apić
Aradski
Aralica
Arambašić
Aranicki
Aranitović
Aranđelović
Aračić
Arbutina
Ardalić
Ardov
Arežina
Aritonović
Arivuković
Arizanović
Arlov
Armanda
Arnaut
Arnautović
Arnovljev
Arsa
Arsenijević
Arsenić
Arsenović
Arsin
Arsić
Arsović
Arula
Arunović
Arčaba
Asanović
Atanacković
Atanasijević
Atanasković
Ateljević
Atlagić
Atlija
Avakumović
Avdalović
Avram
Avramović
Avrić
Azarić
Aćim
Aćimac
Aćimić
Aćimov
Aćimović
Ačić
Ađanski
Ašanin
Ašađanin
Ašonja
Babić
Babović
Bacanović
Backović
Badrić
Badža
Badžoka
Bajagić
Bajatović
Bajević
Bajilo
Bajić
Bajkanović
Bajković
Bajović
Bajraktarević
Bajunović
Bajčeta
Bajčetić
Bajčić
Bajšanski
Bakal
Bakalović
Bakić
Bakmaz
Baković
Bakoč
Bakočević
Balaban
Balatinac
Balać
Balašević
Baletić
Balešević
Balj
Baljak
Baljković
Balorda
Balović
Balta
Baltić
Balšić
Bambulović
Bamburać
Bandić
Bandović
Banduka
Banić
Banićević
Banjac
Banjak
Banjanac
Banjanin
Banjeglav
Banković
Banović
Bančević
Banđur
Baralić
Baranac
Barać
Baračkov
Barašin
Barbir
Barbulov
Barbulović
Baretić
Barilović
Barić
Barišić
