Aca
Aco
Adam
Akso
Aleksa
Aleksej
Aleksije
Alen
Andra
Andrej
Andreja
Andrija
Andrijaš
Andro
Antonije
Aranđel
Arman
Arpad
Arsa
Arsenije
Arso
Artur
Avdula
Avram
Aćim
Bajčeta
Balša
Berislav
Beriša
Berko
Blagoje
Blagomir
Blaško
Blažimir
Boban
Bogdan
Bogić
Bogoje
Bogoljub
Bogomir
Bogosav
Bogoslav
Boica
Bojan
Bojko
Bojčeta
Boris
Borisav
Borislav
Borivoj
Borivoje
Boriša
Borko
Boroje
Boško
Božidar
Božo
Bracan
Brajan
Brane
Branimir
Branislav
Branivoj
Branivoje
Braniša
Branko
Bratislav
Bratoljub
Budimir
Budislav
Caki
Cane
Cvetan
Cvetin
Cvetko
Cvetomir
Cvija
Cvijan
Cvijetin
Cvijo
Cvjetko
Dabiša
Dabo
Dalibor
Damir
Damjan
Damljan
Damnjan
Daniel
Danijel
Danilo
Danislav
Darije
Darijo
Dario
Darjan
Darko
Daroslav
David
Davor
Dejan
Denis
Desimir
Dimitar
Dimitrije
Dimčo
Dinko
Dmitar
Dobrašin
Dobrilo
Dobrimir
Dobrinko
Dobrislav
Dobrivoj
Dobrivoje
Dobriša
Dobromir
Dobrosav
Dobroslav
Dojčilo
Dojčin
Dragan
Dragaš
Dragisav
Dragislav
Dragić
Dragiša
Drago
Dragoja
Dragoje
Dragojlo
Dragomil
Dragomir
Dragoslav
Dragovan
Dragoš
Dragutin
Dražan
Dražeta
Dražimir
Dubravac
Dubravko
Dujak
Duka
Dušan
Duško
Džafer
Emil
Emilijan
Emilije
Erak
Ervin
Evgenije
Fedor
Feodor
Filimon
Filip
Franjo
Gajin
Gal
Gavra
Gavrilo
Gavro
Gača
Gašo
Gašpar
Gedeon
Georgije
Gerasim
German
Gligor
Gligorije
Gliša
Glišo
Godeč
Gojimir
Gojko
Gordan
Gorjan
Gostimir
Gradimir
Grga
Grgo
Grgur
Grigorije
Grijak
Grozdan
Gruban
Grubač
Grubeša
Grubiša
Gruja
Grujica
Grujo
Gustav
Gvozden
Hrabren
Hranimir
Hranislav
Hvalimir
Ignjat
Ignjatije
Igor
Ilija
Ilinko
Isak
Isidor
Ismail
Iva
Ivan
Ivaniš
Ivica
Ivko
Jadran
Jagoš
Jakov
Jakša
Jandre
Jandrija
Janko
Janoš
Jaroslav
Jasminko
Javorko
Jeftimije
Jelisije
Jeremija
Jeremije
Jerko
Jesenko
Jevrem
Jevto
Jezdimir
Joakim
Joko
Jordan
Josif
Josip
Jovan
Jovica
Jovo
Jožef
Jugoslav
Julijan
Juroš
Justin
Kamenko
Kazimir
Kažimir
Kirilo
Klaudije
Kojadin
Kojčin
Kokan
Komnen
Konstantin
Kornelije
Kostadin
Kozma
Krasimir
Krasoje
Krešimir
Kristijan
Krstan
Krstimir
Krstomir
Krunislav
Krunoslav
Kuzman
Laketa
Lale
Lazar
Leon
Lepomir
Ljuban
Ljuben
Ljubenko
Ljubimir
Ljubinko
Ljubisav
Ljubislav
Ljubivoje
Ljubiša
Ljubodrag
Ljuboja
Ljuboje
Ljubomir
Ljuboslav
Ljupče
Lola
Lujo
Luka
Makarije
Maksimilijan
Maleta
Maleš
Mališa
Manojlo
Marijan
Marinko
Marjan
Marko
Martin
Matej
Mateja
Matija
Matijaš
Mašan
Medak
Metodije
Mihailo
Mihajlo
Mijailo
Mijak
Mijalko
Mijan
Mijat
Mikailo
Mikan
Mikoš
Miladin
Milak
Milan
Milanko
Milas
Milat
Milašin
Milenko
Mileta
Milidrag
Milijan
Milijaš
Milimir
Milinko
Milisav
Milivoj
Milivoje
Milić
Miliša
Miljan
Miljen
Miljenko
Miljko
Miljojko
Miljurko
Milkan
Milobran
Miloica
Miloje
Milojica
Milojko
Miloljub
Milomir
Milonja
Milorad
Milosav
Miloslav
Miloš
Milun
Milutin
Miodrag
Miomir
Miraš
Mirko
Miro
Miroje
Miroljub
Mirosav
Miroslav
Mirča
Mića
Mićan
Mićo
Miško
Mladen
Mladomir
Mlađan
Mlađen
Mojaš
Momir
Momčilo
Moša
Mrkša
Mrđan
Mrđen
Mutimir
Nebojša
Nedeljko
Negomir
Negoslav
Negovan
Nemanja
Nenad
Nestor
Nevenko
Neđeljko
Neđo
Neško
Nikola
Nikolaj
Nikoslav
Nikša
Ninko
Ninoslav
Njegomir
Njegoslav
Njegoš
Njeguš
Novak
Novica
Novko
Obradin
Obren
Obrenko
Ognjan
Oleg
Oliver
Ostoja
Ozren
Paja
Panta
Pantelija
Panto
Patrik
Pavić
Pavko
Pavle
Pavlić
Pejak
Pejo
Peran
Periša
Perko
Perun
Petoš
Petrić
Petronije
Pilip
Plamenko
Plavša
Pokrajac
Poznan
Premil
Pribislav
Pribić
Prokopije
Prvan
Prvoslav
Puniša
Purko
Racko
Radak
Radan
Radas
Raden
Radenko
Radeta
Radimir
Radinko
Radisav
Radislav
Radivoj
Radivoje
Radiša
Radman
Radmilo
Radmir
Radoica
Radoja
Radoje
Radojica
Radojko
Radoljub
Radoman
Radomir
Radonja
Radosav
Radoslav
Radovac
Radovan
Radoš
Radul
Radun
Radusin
Raica
Rain
Raič
Rajak
Rajan
Rajica
Rajin
Rajko
Ranko
Ranđel
Rasko
Rastislav
Rastko
Ratibor
Ratimir
Ratislav
Ratko
Ratomir
Račeta
Relja
Resan
Rista
Risto
Rusimir
Rusmir
Sava
Savan
Savatije
Savić
Savko
Saša
Sekula
Sekule
Selak
Selimir
Sergej
Sergije
Sever
Sima
Simeon
Simeun
Simo
Simon
Siniša
Sladoje
Slaven
Slavenko
Slavimir
Slavko
Slavoljub
Slavomir
Slađan
Smiljan
Smiljko
Smoljan
Sofronije
Sotir
Spasoje
Spira
Srbin
Srbislav
Srboljub
Srboslav
Sredoja
Sredoje
Sreten
Sretko
Srećan
Srpko
Srđan
Stajko
Stamenko
Stanimir
Stanislav
Staniša
Stanoja
Stanoje
Stanojko
Stefan
Stepan
Steva
Stevan
Stevica
Stevo
Stjepan
Stoić
Stojak
Stojan
Stojša
Strahinja
Strašimir
Stribor
Svetislav
Svetko
Svetolik
Svetomir
Svetozar
Tadej
Tadija
Tanasije
Tatomir
Teodor
Teodosije
Teofan
Teofil
Tešan
Tešimir
Tihan
Tihomir
Timotej
Toda
Todor
Tomas
Tomaš
Tomica
Tomislav
Tomo
Toša
Tošo
Trajko
Trajče
Trifko
Trifun
Triva
Trivo
Trivun
Tugomir
Uglješa
Ugren
Uroš
Vajo
Valentin
Vanja
Vasa
Vasil
Vasilije
Vasilj
Vasiljko
Vasko
Vaskrsije
Vaso
Vedran
Velemir
Velibor
Velimir
Velisav
Velislav
Velizar
Veliša
Veljko
Veran
Veroljub
Vesa
Veselin
Veselko
Vesko
Veso
Vid
Vidak
Viden
Vidoje
Vidojko
Vidosav
Vidoslav
Viktor
Vinko
Vitomir
Vićan
Višeslav
Vjekoslav
Vladan
Vladeta
Vladimir
Vladislav
Vladoje
Vlajko
Vlastimir
Vlatko
Voislav
Vojdrag
Vojica
Vojimir
Vojin
Vojislav
Vojkan
Vojko
Vraneš
Vuica
Vuin
Vujadin
Vujica
Vujin
Vujko
Vujo
Vukadin
Vukan
Vukas
Vukašin
Vukelja
Vukić
Vukman
Vukmir
Vukobrat
Vukoje
Vukojica
Vukoman
Vukomir
Vukosav
Vukoslav
Vukota
Vuksan
Vukša
Vuleta
Vuzman
Vučan
Vučić
Vučko
Vučur
Zafir
Zaharije
Zarija
Zarije
Zdravko
Zlatibor
Zlatimir
Zlatko
Zlatoje
Zlatomir
Zoran
Zorko
Zrinko
Zvezdan
Zvonimir
Ćetko
Ćirilo
Ćirko
Ćiro
Časlav
Čedomir
Čubra
Čubrilo
Đoka
Đokica
Đoko
Đorđe
Đorđije
Đorđo
Đuka
Đukan
Đura
Đuran
Đurađ
Đuraš
Đurašin
Đurica
Đuro
Šaban
Šakota
Šandor
Špiro
Šćepan
Želimir
Željko
