Adelina
Adrijana
Afrodita
Aleksandra
Aleksija
Ana
Anastasija
Anda
Andjelina
Andrea
Andrijana
Angela
Anica
Anita
Anja
Anka
Ankica
Antonija
Antonina
Anđa
Anđelija
Anđelina
Atanasija
Bela
Berislava
Biljana
Blagica
Blagojka
Blaženka
Bobana
Bogdanka
Bojanka
Bojka
Borisava
Borislava
Borislavka
Borjana
Borjanka
Borka
Bosanka
Bosna
Božana
Božidarka
Božinka
Branimirka
Branislava
Branislavka
Branka
Brankica
Bratislava
Budimka
Cana
Ceca
Cmilja
Cmiljana
Cmiljka
Cveta
Cvetana
Cvetanka
Cvija
Dafina
Dajana
Daliborka
Damjanka
Danica
Danijela
Danojla
Darija
Darina
Darinka
Davorka
Dejana
Desanka
Desimirka
Dijana
Dikosava
Divka
Dmitra
Dobrana
Dobrila
Dobrina
Dobrinka
Dobroslava
Dora
Doris
Doroteja
Dostana
Dragica
Dragija
Draginja
Dragojla
Dragomira
Dragomirka
Dragoslava
Dragoslavka
Draženka
Drenka
Drina
Drinka
Dubravka
Dušanka
Duška
Dvorka
Ekatarina
Ela
Elena
Eleonora
Elizabeta
Elma
Ema
Emilija
Ena
Eva
Evgenija
Evica
Fanija
Filipinka
Gabrijela
Gaga
Glorija
Goca
Goranka
Gordana
Gordanka
Gorjana
Gospana
Gospava
Gradimirka
Grozdana
Grozdanka
Gvozdana
Hana
Helena
Hranislava
Hristina
Ikonija
Ilinka
Ines
Irena
Irina
Isidora
Iva
Ivana
Ivanka
Ivka
Ivona
Izvorka
Jadranka
Jaglika
Jana
Janica
Janja
Jasminka
Jasna
Javorka
Jelača
Jelisava
Jelisaveta
Jelisavka
Jerina
Jesenka
Joka
Jordanka
Jorgovanka
Jovana
Jovanka
Jovka
Julija
Julijana
Julka
Julkica
Justina
Kalinka
Karanfila
Kasija
Katarina
Katica
Kazimira
Kaća
Klara
Klaudija
Kleopatra
Kosana
Kosanka
Kosovka
Kostadina
Kostadinka
Koviljka
Kovinka
Kristina
Krstana
Krstina
Krstinja
Krunislavka
Krunoslava
Ksenija
LJerka
LJubislava
Lala
Lara
Latinka
Lea
Lela
Lelica
Lena
Lenka
Leonida
Leonora
Leontina
Lepa
Leposava
Lidija
Lilijana
Liza
Ljepava
Ljeposava
Ljilja
Ljubinka
Ljubomirka
Ljubosava
Ljupka
Lola
Lovorka
Lozana
Lozanka
Lucija
Lučija
Magda
Magdalena
Majda
Makivija
Malinka
Manda
Margareta
Margita
Marica
Marija
Marika
Marinka
Marjana
Maša
Mašinka
Melanija
Miholjka
Mijana
Milada
Miladinka
Milanka
Milena
Milenka
Milesa
Mileva
Milevka
Milica
Milijana
Milinka
Milisava
Milisavka
Milivojka
Miljana
Miljka
Milka
Milkana
Milkica
Milna
Milodarka
Milojka
Milomirka
Milosava
Milosavka
Miloslava
Milovanka
Miluna
Milunika
Milunka
Milutinka
Miluša
Minja
Mioljka
Miomira
Miona
Mirjana
Mirosava
Miroslava
Miroslavka
Mladena
Momirka
Monika
Nada
Nadežda
Nadica
Nadja
Najda
Narandža
Nata
Natalija
Nataša
Neda
Nedeljka
Negica
Negosava
Negoslava
Nela
Neva
Nevenka
Neđeljka
Nika
Nikoleta
Nikolija
Nikoslava
Nina
Ninoslava
Njegosava
Njegoslava
Novka
Obrenija
Obrenka
Ognjana
Ognjenka
Ojdana
Olga
Olgica
Oliverka
Olja
Ozrenka
Pamela
Paraskeva
Paulina
Pava
Pavka
Pavla
Pavlija
Pejka
Pelagija
Pepica
Perka
Persa
Persida
Petkana
Petra
Petrija
Petronija
Petruša
Plamenka
Planinka
Radana
Radenka
Radica
Radika
Radinka
Radislava
Radislavka
Radivojka
Radmila
Radojka
Radomira
Radomirka
Radosava
Radosija
Radoslava
Radoslavka
Radovanka
Raduka
Radunka
Raduša
Raduška
Rajka
Rajna
Ranka
Rastislava
Ratka
Ravijojla
Ristana
Roksa
Roksanda
Rosanda
Rusmira
Ruzmarinka
Sandra
Sanela
Sava
Saveta
Savica
Savka
Sekana
Senija
Senka
Silva
Silvija
Simana
Simeuna
Simka
Simona
Simonida
Slavenka
Slavica
Slavojka
Slavujka
Slađana
Slađanka
Slobodanka
Slovenka
Smiljana
Smiljka
Snežana
Snježana
Sofija
Sofka
Sojka
Solumija
Sonja
Sovka
Spasena
Spasenija
Spasenka
Srbijanka
Srbislava
Srebrenka
Sretenka
Stajka
Staka
Stamenka
Stanija
Stanika
Stanimirka
Stanislava
Stanislavka
Stanojka
Stanojla
Stefanija
Stevana
Stevanija
Stevanka
Stevka
Stojadinka
Stojana
Stojanka
Stojna
Sunčica
Suzana
Svetislava
Svetlana
Svjetlana
Tajana
Tamara
Tanja
Tankosava
Tatjana
Tea
Teodora
Tihana
Tihomirka
Tihoslava
Tijana
Timka
Tina
Todora
Tomislava
Tomka
Trajanka
Trnjina
Ubavka
Una
Valentina
Valerija
Vanesa
Vanja
Vasilija
Vasiljka
Vasilka
Vaska
Veliborka
Velimirka
Velina
Velinka
Velislava
Verica
Verka
Veronika
Veroslava
Veselina
Veselinka
Veselka
Vesna
Vida
Vidojka
Vidosava
Viktorija
Violeta
Vitomirka
Višeslava
Vladana
Vladanka
Vladimirka
Vladislava
Vlatka
Vojinka
Vujka
Vukana
Vukica
Vukmira
Vukomirka
Vukosava
Zaga
Zagorka
Zdravka
Zlatana
Zlatija
Zlatinka
Zlatka
Zlatomirka
Zoraida
Zoranka
Zorica
Zorinka
Zorislava
Zorka
Zrinka
Zvezdana
Ćana
Đenadija
Đinka
Đorđina
Đuka
Đulijana
Đurica
Đurđa
Đurđevka
Đurđija
Đurđijana
Đurđina
Đurđinka
Žaklina
Žanka
Želimirka
Željana
Žitomirka
Živadinka
Živana
Živanka
Živkica
Živoratka
